Q_design,n_hours,E_net_MWh,eta_I,eta_solar,eta_II,active_hours,capacity_factor,defocus_fraction,cov_P_net_active
56174800.0,720,827686.7621293186,0.3314087030132129,25.24636911382078,0.6835431740902063,691,0.957271961971232,0.33672270564882634,0.00047580623447449343
65537266.666666664,720,828243.8012100315,0.33085286949960746,21.707025748230464,0.6821891579774593,682,0.943039792060162,0.24057013438668856,0.0005018929799057129
74899733.33333333,720,828815.0367892279,0.33041392330314584,19.06219933093323,0.6811104259490797,665,0.9174127515190489,0.157938260041445,0.0005362809132318438
84262200.00000001,720,829366.5783502695,0.33013745804300887,17.08542820416405,0.6804166217685621,640,0.8768022730010798,0.09648509908077738,0.0006557122738657516
93624666.66666667,720,829920.9689523501,0.32990799999073667,15.382435747454362,0.6798319913135362,612,0.8393437785752692,0.043299014980497076,0.0006382233761518227
102987133.33333334,720,830353.9722535653,0.3298425553554579,14.243942215272572,0.6796452732452818,584,0.787382284345479,0.015545717674445595,0.000885511045221447
112349600.0,720,830832.8943572328,0.329935496815432,13.095042288843247,0.6798214899242944,543,0.7311627341554873,0.005313871068874365,0.0009580523828220015
121712066.66666667,720,831231.628162227,0.33003582606441295,12.174329434145845,0.6800206645896513,508,0.680245314564246,-1.2804849623344703e-18,0.0010698662042049683
131074533.33333333,720,831565.9485380368,0.33016904397475866,11.419618198233618,0.6803007234512903,476,0.631958679971272,4.997014487158909e-19,0.0012913148239725423
140437000.0,720,831874.6426080996,0.3302999536783466,10.722466306086558,0.6805750094933565,446,0.5895143893383205,-8.74477535252809e-19,0.0015506804457607799
